"artist/1153964","Homeboy Sandman","https://www.discogs.com/artist/1153964-Homeboy-Sandman","ARTIST"
"artist/69272","Punchline","https://www.discogs.com/artist/69272-Punchline","ARTIST"
"artist/217337","Pebbles The Invisible Girl","https://www.discogs.com/artist/217337-Pebbles-The-Invisible-Girl","ARTIST"
"artist/106754","DJ Cucumber Slice","https://www.discogs.com/artist/106754-DJ-Cucumber-Slice","ARTIST"
"artist/113390","Tommy Gunn","https://www.discogs.com/artist/113390-Tommy-Gunn","ARTIST"
"artist/187204","MF Grimm","https://www.discogs.com/artist/187204-MF-Grimm","ARTIST"
"artist/844049","Kwite Def","https://www.discogs.com/artist/844049-Kwite-Def","ARTIST"
"artist/113397","Kurious","https://www.discogs.com/artist/113397-Kurious","ARTIST"
"artist/161179","Mister Jason","https://www.discogs.com/artist/161179-Mister-Jason","ARTIST"
"artist/188199","Papa D!","https://www.discogs.com/artist/188199-Papa-D!","ARTIST"
"artist/58552","Fakts One","https://www.discogs.com/artist/58552-Fakts-One","ARTIST"
"artist/5072035","Jason Katsohis","https://www.discogs.com/artist/5072035-Jason-Katsohis","ARTIST"
"artist/1661401","A. Ford (2)","https://www.discogs.com/artist/1661401-A-Ford-2","ARTIST"
"artist/996448","Percy Carey","https://www.discogs.com/artist/996448-Percy-Carey","ARTIST"
"artist/194461","Ill-Clown","https://www.discogs.com/artist/194461-Ill-Clown","ARTIST"
"artist/1661400","Jason Goler","https://www.discogs.com/artist/1661400-Jason-Goler","ARTIST"
"artist/161181","Cas (2)","https://www.discogs.com/artist/161181-Cas-2","ARTIST"
"artist/161182","Ninja B","https://www.discogs.com/artist/161182-Ninja-B","ARTIST"
"artist/246407","Que (2)","https://www.discogs.com/artist/246407-Que-2","ARTIST"
"artist/1661398","D. Boylan","https://www.discogs.com/artist/1661398-D-Boylan","ARTIST"
"artist/143796","King Honey","https://www.discogs.com/artist/143796-King-Honey","ARTIST"
"artist/63744","Heat Sensor","https://www.discogs.com/artist/63744-Heat-Sensor","ARTIST"
"artist/135212","Creature (2)","https://www.discogs.com/artist/135212-Creature-2","ARTIST"
"artist/178756","Fred Ones","https://www.discogs.com/artist/178756-Fred-Ones","ARTIST"
"artist/186697","Mental","https://www.discogs.com/artist/186697-Mental","ARTIST"
